        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:29:51
           7	           9	       1 / 1	 00:00:11,29	 00:00:11,29	 00:01:54,09	International Racers	80070461000900FF12
           6	           9	       1 / 1	 00:00:12,89	 00:00:11,87	 00:01:54,38	Global Racing	80060500000900C510
           8	           9	       1 / 1	 00:00:11,75	 00:00:11,75	 00:01:55,00	Hyper Monkeys	8208048F000900FF10
          19	          10	       0 / 0	 00:00:11,39	 00:00:11,11	 00:01:55,75	         H&B	8013046B000A00FF10
          13	          10	       1 / 1	 00:00:11,44	 00:00:11,27	 00:01:57,46	Slotrace Friends	800D0470000A00FF10
           1	          10	       1 / 1	 00:00:11,23	 00:00:11,18	 00:01:57,92	        DSCA	8001045B000A00FF8C
          10	           9	       2 / 1	 00:00:15,35	 00:00:11,83	 00:01:58,63	Sports Carazing	800A05F40009000080
          11	           9	       2 / 1	 00:00:11,66	 00:00:11,66	 00:01:59,54	PT Motorsport	800B0486000900AF8C
          14	          10	       1 / 1	 00:00:11,88	 00:00:11,24	 00:02:01,06	         DTM	800E049C000A00FF8C
           9	           9	       2 / 1	 00:00:12,89	 00:00:12,34	 00:02:02,81	    WK Power	80090500000900C58C
          16	           9	       2 / 1	 00:00:14,12	 00:00:12,14	 00:02:03,48	    DSCA 50+	8010057A000900D98C
          12	          10	       1 / 1	 00:00:12,53	 00:00:11,51	 00:02:04,03	  DYT Racing	800C04DC000A00008C
          18	          10	       1 / 1	 00:00:11,65	 00:00:11,65	 00:02:04,11	Brussels Scalex Team	80120485000A00CF10
           3	           7	       4 / 2	 00:00:14,69	 00:00:14,69	 00:02:05,12	Happy Family	800305B2000700BE12
           5	           9	       2 / 1	 00:00:12,17	 00:00:12,17	 00:02:05,44	El Kapito Dents	800504B8000900D510
           7	          10	       1 / 1	 00:00:11,42	 00:00:11,29	 00:02:05,46	International Racers	8007046E000A00C08C
           6	          10	       1 / 1	 00:00:12,11	 00:00:11,87	 00:02:06,35	Global Racing	800604B2000A00A78C
