        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
          11	          20	       1 / 1	 00:00:08.99	 00:00:08.78	 00:03:08.64	        DSCA	800B037D001500FF8C
          10	          20	       1 / 1	 00:00:09.22	 00:00:09.11	 00:03:11.03	      Wolves	800A0394001500FF8C
          15	          20	       1 / 1	 00:00:08.90	 00:00:08.80	 00:03:11.38	   Garage 27	800F0374001500FF10
           6	          19	       2 / 1	 00:00:08.57	 00:00:08.48	 00:03:11.57	Eurolink Racing	80060353001400FF10
           9	          20	       1 / 1	 00:00:09.05	 00:00:08.80	 00:03:12.81	Hyper Monkeys	80090383001500FF8C
           4	          20	       1 / 1	 00:00:09.04	 00:00:08.86	 00:03:15.14	El Kapito Dents	80040382001500FF8C
           8	          21	       0 / 0	 00:00:09.08	 00:00:08.68	 00:03:15.78	      Exiles	80080386001600FF8C
           1	          20	       2 / 1	 00:00:11.44	 00:00:08.65	 00:03:16.30	Sports Carazing	80010470001500AE8C
          15	          21	       1 / 1	 00:00:08.90	 00:00:08.80	 00:03:20.05	   Garage 27	800F0374001600FF10
           6	          20	       2 / 1	 00:00:08.84	 00:00:08.48	 00:03:20.24	Eurolink Racing	8006036E001500FF10
          10	          21	       1 / 1	 00:00:09.26	 00:00:09.11	 00:03:20.30	      Wolves	800A0398001600FF8C
          11	          21	       1 / 1	 00:00:11.50	 00:00:08.78	 00:03:20.31	        DSCA	800B0476001600A18C
           9	          21	       1 / 1	 00:00:09.01	 00:00:08.80	 00:03:21.79	Hyper Monkeys	8009037F001600FF8C
           4	          21	       1 / 1	 00:00:09.02	 00:00:08.86	 00:03:24.11	El Kapito Dents	80040380001600FF10
           8	          22	       0 / 0	 00:00:08.93	 00:00:08.68	 00:03:24.75	      Exiles	80080377001700FF10
           1	          21	       2 / 1	 00:00:09.56	 00:00:08.65	 00:03:25.88	Sports Carazing	800103B5001600FF12
          15	          22	       1 / 1	 00:00:08.89	 00:00:08.80	 00:03:29.03	   Garage 27	800F0373001700FF8A
           6	          21	       2 / 1	 00:00:08.80	 00:00:08.48	 00:03:29.22	Eurolink Racing	8006036A001600FF8C
          10	          22	       1 / 1	 00:00:09.31	 00:00:09.11	 00:03:29.58	      Wolves	800A039D001700FF12
          11	          22	       1 / 1	 00:00:10.34	 00:00:08.78	 00:03:30.49	        DSCA	800B0403001700FF10
           9	          22	       1 / 1	 00:00:09.10	 00:00:08.80	 00:03:30.77	Hyper Monkeys	80090388001700FF10
           4	          22	       1 / 1	 00:00:08.83	 00:00:08.83	 00:03:32.79	El Kapito Dents	8004036D001700FF10
           8	          23	       0 / 0	 00:00:08.92	 00:00:08.68	 00:03:33.73	      Exiles	80080376001800FF10
           1	          22	       2 / 1	 00:00:08.72	 00:00:08.65	 00:03:34.56	Sports Carazing	80010362001700FF12
