        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	08:49:58
           9	        2419	       0 / 0	 00:00:08.95	 00:00:07.90	 00:04:16.62	Hyper Monkeys	80090379001B00FF10
           6	        2257	    163 / 50	 00:00:08.84	 00:00:08.24	 00:04:18.97	Eurolink Racing	8006036E001B00FF8C
          11	        2307	     113 / 1	 00:00:09.05	 00:00:08.12	 00:04:19.34	        DSCA	800B0383001C00FF10
           4	        2202	    218 / 56	 00:00:08.63	 00:00:08.09	 00:04:19.55	El Kapito Dents	80040359001C00FF10
          15	        2308	    112 / 44	 00:00:08.96	 00:00:08.48	 00:04:20.87	   Garage 27	800F037A001D00FF8A
           8	        2379	     41 / 41	 00:00:10.48	 00:00:08.12	 00:04:23.48	      Exiles	80080411001B00FF8C
          10	        2352	     68 / 28	 00:00:09.08	 00:00:08.27	 00:04:23.82	      Wolves	800A0386001600FF8C
           9	        2420	       0 / 0	 00:00:08.81	 00:00:07.90	 00:04:25.30	Hyper Monkeys	8009036B001C00FF10
           6	        2258	    163 / 50	 00:00:08.87	 00:00:08.24	 00:04:27.65	Eurolink Racing	80060371001C000080
           4	        2203	    218 / 56	 00:00:08.75	 00:00:08.09	 00:04:28.22	El Kapito Dents	80040365001D000010
          11	        2308	     113 / 1	 00:00:08.96	 00:00:08.12	 00:04:28.31	        DSCA	800B037A001D00FF10
          15	        2309	    112 / 44	 00:00:09.08	 00:00:08.48	 00:04:29.85	   Garage 27	800F0386001E00FF10
           8	        2380	     41 / 41	 00:00:09.48	 00:00:08.12	 00:04:33.05	      Exiles	800803AD001C00FF10
          10	        2353	     68 / 28	 00:00:09.39	 00:00:08.27	 00:04:33.09	      Wolves	800A03A4001700FF12
           9	        2421	       0 / 0	 00:00:08.89	 00:00:07.90	 00:04:34.28	Hyper Monkeys	80090373001D00FF10
          11	        2309	     113 / 1	 00:00:09.07	 00:00:08.12	 00:04:37.29	        DSCA	800B0385001E00FF8C
          15	        2310	    112 / 44	 00:00:08.83	 00:00:08.48	 00:04:38.83	   Garage 27	800F036D001F00FF10
           4	        2204	    218 / 55	 00:00:13.00	 00:00:08.09	 00:04:41.39	El Kapito Dents	8004050B001E00FF8C
           8	        2381	     41 / 41	 00:00:08.77	 00:00:08.12	 00:04:41.73	      Exiles	80080367001D00FF8C
          10	        2354	     68 / 28	 00:00:08.86	 00:00:08.27	 00:04:42.07	      Wolves	800A0370001800FF8C
           6	        2259	    163 / 51	 00:00:15.54	 00:00:08.24	 00:04:43.21	Eurolink Racing	80060607001D00FF10
           9	        2422	       0 / 0	 00:00:09.14	 00:00:07.90	 00:04:43.56	Hyper Monkeys	8009038C001E00FF8C
          11	        2310	     113 / 1	 00:00:08.72	 00:00:08.12	 00:04:45.97	        DSCA	800B0362001F00FF8C
          15	        2311	    112 / 44	 00:00:08.72	 00:00:08.48	 00:04:47.51	   Garage 27	800F0362002000FF10
           4	        2205	    218 / 55	 00:00:08.78	 00:00:08.09	 00:04:50.07	El Kapito Dents	80040368001F00FF10
           8	        2382	     41 / 41	 00:00:09.41	 00:00:08.12	 00:04:51.01	      Exiles	800803A6001E00FF10
          10	        2355	     68 / 28	 00:00:09.50	 00:00:08.27	 00:04:51.65	      Wolves	800A03AF001900FF12
           6	        2260	    163 / 51	 00:00:09.35	 00:00:08.24	 00:04:53.08	Eurolink Racing	800603A0001E00808C
          11	        2311	     112 / 1	 00:00:09.11	 00:00:08.12	 00:04:54.95	        DSCA	800B0389002000FF10
           9	        2423	       0 / 0	 00:00:12.29	 00:00:07.90	 00:04:55.83	Hyper Monkeys	800904C4001F00FF10
          15	        2312	    112 / 44	 00:00:08.90	 00:00:08.48	 00:04:56.18	   Garage 27	800F0374002100FF8A
           4	        2206	    218 / 55	 00:00:08.62	 00:00:08.09	 00:04:58.75	El Kapito Dents	80040358002000FF10
          10	        2356	     68 / 27	 00:00:08.87	 00:00:08.27	 00:05:00.32	      Wolves	800A0371001A00FF12
           8	        2383	     41 / 41	 00:00:10.49	 00:00:08.12	 00:05:01.48	      Exiles	80080412001F00FF10
           6	        2261	    163 / 51	 00:00:09.29	 00:00:08.24	 00:05:01.76	Eurolink Racing	8006039B001F00FF8C
          11	        2312	     112 / 1	 00:00:08.74	 00:00:08.12	 00:05:03.93	        DSCA	800B0364002100FF8C
           9	        2424	       0 / 0	 00:00:08.90	 00:00:07.90	 00:05:04.50	Hyper Monkeys	80090374002000FF10
          15	        2313	    112 / 44	 00:00:08.71	 00:00:08.48	 00:05:04.86	   Garage 27	800F0361002200FF8A
           4	        2207	    218 / 55	 00:00:08.73	 00:00:08.09	 00:05:07.43	El Kapito Dents	80040363002100FF10
          10	        2357	     68 / 27	 00:00:08.69	 00:00:08.27	 00:05:09.00	      Wolves	800A035F001B00FF12
           8	        2384	     41 / 41	 00:00:09.35	 00:00:08.12	 00:05:11.06	      Exiles	800803A0002000FF10
           6	        2262	    163 / 51	 00:00:09.31	 00:00:08.24	 00:05:11.34	Eurolink Racing	8006039D002000FF8C
          11	        2313	     112 / 1	 00:00:08.69	 00:00:08.12	 00:05:12.60	        DSCA	800B035F002200FF10
           9	        2425	       0 / 0	 00:00:08.74	 00:00:07.90	 00:05:13.18	Hyper Monkeys	80090364002100FF8C
          15	        2314	    112 / 44	 00:00:08.70	 00:00:08.48	 00:05:13.54	   Garage 27	800F0360002300FF8A
           4	        2208	    218 / 55	 00:00:08.83	 00:00:08.09	 00:05:16.10	El Kapito Dents	8004036D002200FF8C
          10	        2358	     68 / 27	 00:00:08.74	 00:00:08.27	 00:05:17.98	      Wolves	800A0364001C00FF12
           8	        2385	     41 / 41	 00:00:08.66	 00:00:08.12	 00:05:19.74	      Exiles	8008035C002100FF10
           6	        2263	    163 / 51	 00:00:09.04	 00:00:08.24	 00:05:20.31	Eurolink Racing	80060382002100FF8C
